City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,kingscliff,-28.2667,153.5667,16.08,94,75,8.75,AU,1727469540
286,enewetak,11.3474,162.3373,28.96,74,3,5.8,MH,1727469541
287,vevey,46.4612,6.8433,12.61,85,53,5.0,CH,1727469542
288,st. john's,47.5649,-52.7093,12.21,88,75,4.12,CA,1727469543
289,port moresby,-9.4431,147.1797,23.68,94,40,2.06,PG,1727469343
290,el matama,16.7095,33.3565,34.44,28,26,3.85,SD,1727469546
291,ise,34.4833,136.7,23.78,87,99,2.25,JP,1727469548
292,columbus,39.9612,-82.9988,21.47,95,100,17.49,US,1727469429
293,long beach,33.767,-118.1892,24.14,76,0,6.17,US,1727469551
294,sousa,-6.7592,-38.2281,32.81,28,5,2.24,BR,1727469552
295,berezovo,63.9381,65.0419,10.58,69,99,5.03,RU,1727469553
296,barabai,-2.5833,115.3833,22.64,94,12,0.62,ID,1727469555
297,pitimbu,-7.4706,-34.8086,24.61,79,17,3.97,BR,1727469314
298,kidal,18.4411,1.4078,36.12,19,47,2.36,ML,1727469557
299,nouadhibou,20.931,-17.0347,23.99,73,84,8.75,MR,1727469558
300,sao joao da barra,-21.6403,-41.0511,27.05,82,0,12.43,BR,1727469559
301,remire-montjoly,4.9167,-52.2667,30.02,74,0,5.14,GF,1727469560
302,bodaybo,57.8506,114.1933,-0.36,87,12,0.28,RU,1727469564
303,balabac,7.9868,117.0645,26.54,79,56,1.38,PH,1727469565
304,pyhajarvi,67.0701,27.2176,4.61,96,100,5.04,FI,1727469566
305,douglas,41.3,-96.167,29.12,37,0,3.09,US,1727469476
306,chita,52.0333,113.55,-1.06,64,100,2.0,RU,1727469569
307,toritto,40.9982,16.6798,23.06,77,0,1.54,IT,1727469570
308,dwarka,22.2394,68.9678,27.68,83,100,5.96,IN,1727469571
309,kokkola,63.8385,23.1307,8.85,97,75,4.12,FI,1727469572
310,nantucket,41.2835,-70.0995,21.06,73,20,3.09,US,1727469573
311,constitucion,-35.3333,-72.4167,13.86,49,76,5.44,CL,1727469574
312,tashtyp,52.7939,89.8983,-0.49,93,98,1.97,RU,1727469575
313,cadale,2.7603,46.3222,25.25,88,25,8.07,SO,1727469576
314,alotau,-10.3069,150.4462,25.37,93,81,0.84,PG,1727469577
315,kipushi,-11.7667,27.2333,20.92,29,1,2.14,CD,1727469579
316,yevpatoriya,45.1972,33.3558,19.29,72,0,0.55,UA,1727469580
317,tangzhai,34.4328,116.5911,18.21,82,29,3.45,CN,1727469581
318,bankim,6.083,11.4905,19.89,97,100,0.62,CM,1727469582
319,seryshevo,51.0933,128.3786,13.14,71,100,5.83,RU,1727469303
320,giddalur,15.35,78.9167,26.54,75,100,1.38,IN,1727469584
321,lucapa,-8.4192,20.7447,24.85,39,11,0.2,AO,1727469585
